,word1,word2,Score,Ratio,word1_phonetix,word2_phonetix
0,abatacept,alefacept,3.0,67,ABATACAPT,ALAFACAPT
1,abdomen,abdominal,3.0,75,ABDANAN,ABDANANAL
2,abdominal,abdomen,3.0,75,ABDANANAL,ABDANAN
3,ablation,avolition,3.0,71,ABLATAN,AVALATAN
4,abs,acne,3.0,29,AB,ACN
5,abs,adhd,3.0,29,AB,ADHD
6,abs,aids,2.0,57,AB,AD
7,abs,anal,3.0,29,AB,ANAL
8,abs,ards,2.0,57,AB,AD
9,abs,arvd,3.0,29,AB,ARVD
10,abs,bmi,3.0,33,AB,BN
11,abs,cabg,2.0,57,AB,CABG
12,abs,chd,3.0,0,AB,CHD
13,abs,cll,3.0,0,AB,CL
14,abs,coats,3.0,50,AB,CAT
15,abs,cpr,3.0,0,AB,CPR
16,abs,crp,3.0,0,AB,CRP
17,abs,ctx,3.0,0,AB,CTX
18,abs,cuts,3.0,29,AB,CAT
19,abs,cyst,3.0,29,AB,CAST
20,abs,eye,3.0,0,AB,E
21,abs,eyes,3.0,29,AB,E
22,abs,face,3.0,29,AB,FAC
23,abs,favus,3.0,50,AB,FAV
24,abs,fit,3.0,0,AB,FAT
25,abs,flab,3.0,57,AB,FLAB
26,abs,flu,3.0,0,AB,FL
27,abs,gym,3.0,0,AB,GAN
28,abs,hair,3.0,29,AB,HAR
29,abs,hcg,3.0,0,AB,HCG
30,abs,hip,3.0,0,AB,HAP
31,abs,hiv,3.0,0,AB,HAV
32,abs,hus,2.0,33,AB,H
33,abs,jaw,3.0,33,AB,J
34,abs,lavh,3.0,29,AB,LAVH
35,abs,legs,3.0,29,AB,LAG
36,abs,lems,3.0,29,AB,LAN
37,abs,lip,3.0,0,AB,LAP
38,abs,lobe,3.0,29,AB,LAB
39,abs,male,3.0,29,AB,MAL
40,abs,mers,3.0,29,AB,MAR
41,abs,mg,3.0,0,AB,MG
42,abs,nails,3.0,50,AB,NAL
43,abs,nose,3.0,29,AB,NAS
44,abs,npd,3.0,0,AB,NPD
45,abs,oab,2.0,67,AB,OAB
46,abs,ocd,3.0,0,AB,OCD
47,abs,ocps,3.0,29,AB,OCP
48,abs,osa,3.0,33,AB,OS
49,abs,pain,3.0,29,AB,PAN
50,abs,palsy,3.0,50,AB,PALSY
51,abs,pap,3.0,33,AB,PAP
52,abs,pml,3.0,0,AB,PNL
53,abs,prk,3.0,0,AB,PRC
54,abs,rape,3.0,29,AB,RAP
55,abs,rdw,3.0,0,AB,RDW
56,abs,rmsf,3.0,29,AB,RNSF
57,abs,sars,2.0,57,AB,SAR
58,abs,scars,3.0,50,AB,SCAR
59,abs,sex,3.0,33,AB,SAC
60,abs,spa,3.0,33,AB,SP
61,abs,std,3.0,33,AB,STD
62,abs,stds,3.0,29,AB,STD
63,abs,tb,2.0,40,AB,TB
64,abs,tvl,3.0,0,AB,TVL
65,abs,uti,3.0,0,AB,UT
66,abs,vzv,3.0,0,AB,VSV
67,abs,wart,3.0,29,AB,WAD
68,abs,warts,3.0,50,AB,WAD
69,abs,wbc,2.0,33,AB,WBC
70,abs,wfns,3.0,29,AB,WFN
71,abs,wnv,3.0,0,AB,WNV
72,abs,yaws,2.0,57,AB,Y
73,abs,जिम,3.0,0,AB,
74,abs,दवा,3.0,0,AB,
75,abs,फिट,3.0,0,AB,
76,abs,योग,3.0,0,AB,
77,abs,रोग,3.0,0,AB,
78,abs,aml,2.0,33,AB,ANL
79,abs,ccf,3.0,0,AB,CF
80,abs,cml,3.0,0,AB,CNL
81,abs,cte,3.0,0,AB,CT
82,abs,dka,3.0,33,AB,DC
83,abs,emr,3.0,0,AB,ENR
84,abs,fsh,3.0,33,AB,FS
85,abs,fuo,3.0,0,AB,F
86,abs,iih,3.0,0,AB,
87,abs,lens,3.0,29,AB,LAN
