channel_id,video_id
UC-1p2KXbHZSokr7ikUFCErQ,1
UC-2L31LrT3T-OBNLuP_AnHw,2
UC-2ajHyfmdtyXrJXVGQaW7A,2
UC-2bkTl5l6XZMFE42epWcsQ,28
UC-2m43NRsTtkFicEt9CDVgQ,1
UC-3TU4dOiaf8hMS29PDU6lg,1
UC-3udhgU_igJD_LmpdJa_zA,1
UC-4vIk35M6S70rqSfX3fkuw,2
UC-5btZe1AKTdO45xScNmsvw,2
UC-5hk7knyAZiGhrS5LrZJ_g,4
UC-6tHv5d9mB5kt1m19eVXHg,100
UC-7lY_xHOLX-Ev7-rxal8vQ,15
UC-7oca4S_uhVQT2wo5tJz8A,1
UC-8bIuK5Hpj09rNNV99OYJA,15
UC-8g0HshRxIlzz1pCgfDLZw,3
UC-9Vzpidu0cCqa8ERCBiNMw,1
UC-9_drIFv14KfzEI8HmEizA,7
UC-A5p9EQi7K8wq2tDV2-svw,1
UC-Ae7_2WISHnKyeoAgYaJ3A,2
UC-B1L3oT81XgeeGh6S12qgQ,14
UC-BEKbBI30BmSiycFfQuxPw,1
UC-Dhnn0heSEn43826q90ZKA,1
UC-DtbRiglRsaf6Xoe5PZcIw,1
UC-E992czuWAMl7ZGKmFah8Q,1
UC-EcpWo8UoWJbpSXnTuYtuQ,2
UC-Emsa4MjQOzC7AdZ7aBbYA,39
UC-F0QPPQJF4RhXP_IEloIrw,1
UC-FagGSZFqGLR07ol8uyB3g,1
UC-FfxhsBwREL9uNhy2RSTRw,2
UC-FvCMuHs-PgRats1AVzHxw,4
UC-I5xAPyRfckib5joYo2IHw,55
UC-JNwBye5S1v_0wSISB_LCQ,1
UC-JwhObujhNHmLTIb0758gg,1
UC-KbQZuiy-C3tMEoO09BYQQ,3
UC-KiGT2zDMaP8M3Fir9Rp0w,5
UC-LAdUcXpFsz2DGFIcHeHDw,24
UC-LK4DVaipfv9JrOlOSdgig,2
UC-LOdiPoxninevJ0DkleCLg,6
UC-LPIU24bQXVljUXivKEeRQ,29
UC-LUjxkSJCxAMrZ4S0T3Drg,2
UC-La9pOpem5lqdNiCXLvtRQ,2
UC-LbRDwcOMpru6KrdsAZ-8A,2
UC-Lh_OjlgWtjm9NUJpZbzNg,4
UC-Lq6oBPTgTXT_K-ylWL6hg,204
UC-MnkkAV0jFiEcphmcDJNtg,2
UC-N2GFf6Dmna8NZ51vO--Lg,3
UC-O6RxEArXGo9A7e82xrR3g,1
UC-OD_gFub9r7Z31hr4Wn5wQ,16
UC-Oonlp64WmcH89PtcKD6pw,6
